,rand_smi,cano_smi,Class,pIC50
348,c1c(-c2cc(C#N)cnc2)cc(cc1)C1(N=C(N)c2c(F)cccc21)c1cn(c(=O)c(C)c1)CC,CCn1cc(C2(c3cccc(-c4cncc(C#N)c4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,1,8.0830202
349,C1([NH2+]CC(O)C(NC(C)=O)Cc2ccc(cc2)Cl)CC2(Oc3ncc(CC(C)(C)C)cc13)CCC2,CC(=O)NC(Cc1ccc(Cl)cc1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,8.0809221
350,CCCCN(C)C(=O)n1c2c(cccn2)c(c1)C(NC(Cc1cc(F)cc(c1)F)C(C[NH2+]Cc1cc(CC)ccc1)O)=O,CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(CC)c2)c2cccnc21,1,8.0655012
351,N(=C1CCC(c2cc(ccc2)C(C)(C)C)(CC1)[NH2+]CC(C(Cc1cc(F)cc(F)c1)NC(=O)C)O)O,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(=NO)CC1,1,8.0555172
352,N(\OCc1ccccc1)=C(\c1cc(N(S(C)(=O)=O)C)cc(c1)C(=O)N[C@H]([C@@H](O)C[NH2+]Cc1cccc(OC)c1)Cc1cc(F)cc(c1)F)C,COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\OCc3ccccc3)cc(N(C)S(C)(=O)=O)c2)c1,1,8.0457573
353,Fc1cc(F)cc(C[C@@H]([C@@H](O)C[NH2+]Cc2cccc(c2)OC)NC(=O)c2cc(cc(N(c3ccccc3)S(=O)(=O)C)c2)/C(=N\O)C)c1,COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\O)cc(N(c3ccccc3)S(C)(=O)=O)c2)c1,1,8.0457573
354,c1cccc(c1)CC(NC(c1cc2c3c(c1)N(S(CCc3cn2CC)(=O)=O)C)=O)[C@H](O)C[NH2+]C1CC1,CCn1cc2c3c(cc(C(=O)NC(Cc4ccccc4)[C@H](O)C[NH2+]C4CC4)cc31)N(C)S(=O)(=O)CC2,1,8.0457573
355,c1(CC(NC(=O)c2cc3c(CC)cn4c3c(c2)N(S(=O)(CC4)=O)C)C(C[NH2+]C2CCCCC2)O)ccccc1,CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)C[NH2+]C4CCCCC4)cc13)N(C)S(=O)(=O)CC2,1,8.0457573
356,c12cc(nc(c2)COC)OCCCCOc2cccc(c2)CC(C(O)C[NH2+]C2(c3cccc(C(C)C)c3)CC2)NC1=O,COCc1cc2cc(n1)OCCCCOc1cccc(c1)CC(C(O)C[NH2+]C1(c3cccc(C(C)C)c3)CC1)NC2=O,1,8.0457573
357,C(c1cc(-c2nccs2)ccc1)C(NC(=O)[C@H]1OCCC1)C(O)C[NH2+]C1c2cc(CC(C)(C)C)cnc2OC2(C1)CCC2,CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C(Cc1cccc(-c3nccs3)c1)NC(=O)[C@@H]1CCCO1)CC1(CCC1)O2,1,8.036212
358,C(C)(C)(C)Cc1cc2C([NH2+]CC(C(Cc3cccc(-c4ccccn4)c3)NC(COC)=O)O)CC3(Oc2nc1)CCC3,COCC(=O)NC(Cc1cccc(-c2ccccn2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,8.031517
359,C(COC)(NC(C(O)C[NH2+]C1c2c(ncc(c2)CC(C)(C)C)OC2(C1)CCC2)Cc1c(ccc(-c2nccs2)c1)F)=O,COCC(=O)NC(Cc1cc(-c2nccs2)ccc1F)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,8.0222759
360,c1c(cccc1CC(NC(=O)COC)C(O)C[NH2+]C1c2cc(cnc2OC2(C1)CCC2)CC(C)(C)C)-c1ncco1,COCC(=O)NC(Cc1cccc(-c2ncco2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,8.0177288
361,C(C(C)(C)C)c1cc2c(OC3(CC2[NH2+]CC(O)C2Cc4cc(CCCCn5cc(C(=O)N2)ccc5=O)ccc4)CCC3)nc1,CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C1Cc3cccc(c3)CCCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2,1,8.0132284
362,c1c(CC(C)(C)C)cnc2OC3(CCC3)CC([NH2+]CC(O)C(Cc3cc(-c4sccn4)ccc3)NC(=O)C(OC)OC)c21,COC(OC)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,8.0087738
363,c1(cc(F)cc(CC(C(O)C[NH2+]Cc2cccc(OC)c2)NC(=O)c2cc(cc(c2)C(=O)N(CCC)CCC)/C(=N\OCC=C)C)c1)F,C=CCO/N=C(/C)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)cc(C(=O)N(CCC)CCC)c1,1,8.0
364,O=C(c1cc(C(N(CCC)CCC)=O)cc(CCO)c1)NC(C(C[NH2+]Cc1cc(ccc1)OC)O)Cc1cc(F)cc(c1)F,CCCN(CCC)C(=O)c1cc(CCO)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,1,8.0
365,c1c(C[NH2+]C[C@@H](C(Cc2cc(cc(c2)F)F)NC(=O)c2cc(N(c3ccccc3)S(=O)(C)=O)cc(c2)/C(C)=N/OC)O)cccc1OC,CO/N=C(\C)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)[C@@H](O)C[NH2+]Cc2cccc(OC)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,1,8.0
366,c1(Oc2cc(C(=O)N(CCC)CCC)cc(C(NC(Cc3cc(cc(F)c3)F)C(C[NH2+]Cc3cccc(OC)c3)O)=O)c2)ccccc1,CCCN(CCC)C(=O)c1cc(Oc2ccccc2)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,1,8.0
367,C(CN(CCC)C(=O)c1cc(Oc2ccc(cc2)OC)cc(C(=O)NC(C(O)C[NH2+]Cc2cc(OC)ccc2)Cc2cc(cc(F)c2)F)c1)C,CCCN(CCC)C(=O)c1cc(Oc2ccc(OC)cc2)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,1,8.0
368,O=C(c1cc2c3c(c1)N(C)S(CCc3cn2CC)(=O)=O)N[C@H]([C@@H](C[NH2+]C(C)CC)O)Cc1ccccc1,CCC(C)[NH2+]C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,1,8.0
369,c1(cc(C)c(OC)cc1)[C@@]1(c2cc(-c3c(F)nccc3)c(cc2)F)N=C(N)N(C)C1=O,COc1ccc([C@@]2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C,1,8.0
370,C(c1cc(cc(N(S(=O)(=O)C)C)c1)C(=O)NC(C(C[C@@H](C(=O)NC(C(NCc1ccccc1)=O)C(C)C)C)O)COc1cc(cc(F)c1)F)(=O)NC(c1ccccc1)C,CC(NC(=O)c1cc(C(=O)NC(COc2cc(F)cc(F)c2)C(O)C[C@H](C)C(=O)NC(C(=O)NCc2ccccc2)C(C)C)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,1,8.0
371,c1(cccc(c1)-c1c(nccc1)F)C1(c2cc(nc(c2)CC)CC)C(=O)N(C(N)=N1)C,CCc1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc(CC)n1,1,8.0
372,c1ccc(CC(NC(=O)c2cccc(N(c3ccc(Cl)cc3)S(=O)(C)=O)c2)C(O)C[NH2+]C(C(NC2CCCCC2)=O)C)cc1,CC([NH2+]CC(O)C(Cc1ccccc1)NC(=O)c1cccc(N(c2ccc(Cl)cc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,1,8.0
373,c1([C@@]2(C(=O)N(C(=N2)N)C)c2ccc(OC(F)F)cc2)cc(ccc1)-c1cccnc1F,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(-c3cccnc3F)c2)N=C1N,1,8.0
374,c1c(cccc1C#CCF)[C@@]1(c2ccc(cc2)OC(F)F)N=C(N(C)C1=O)N,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCF)c2)N=C1N,1,8.0
375,C(F)(F)Oc1ccc([C@]2(C(=O)N(C)C(N)=N2)c2cccc(C#CCCF)c2)cc1,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCCF)c2)N=C1N,1,8.0
376,OCCC#Cc1cccc([C@@]2(c3ccc(cc3)OC(F)F)N=C(N(C2=O)C)N)c1,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCCO)c2)N=C1N,1,8.0
377,C(CCCC#Cc1cc(ccc1)[C@]1(c2ccc(cc2)OC(F)F)C(N(C(N)=N1)C)=O)O,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCCCCO)c2)N=C1N,1,8.0
378,O(C(F)F)c1ccc(cc1)[C@@]1(c2cc(c(F)cc2)OCCCF)C(N(C(N)=N1)C)=O,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCCCF)c2)N=C1N,1,8.0
379,FC(F)CCOc1cccc(c1)[C@]1(c2ccc(OC(F)F)cc2)C(=O)N(C(=N1)N)C,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCCC(F)F)c2)N=C1N,1,8.0
380,n1c2n(cc(c2ccc1)C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cc(ccc1)OC)=O)C(=O)N1CCC[C@@H]1COC,COC[C@H]1CCCN1C(=O)n1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c2cccnc21,1,8.0
381,c1c2cc(-c3ccccc3C)ccc2nc(c1CC(C(=O)NCC1CCOCC1)C)N,Cc1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCC3CCOCC3)cc2c1,1,8.0
382,N1(CCC(C1=O)(C(CC)C)NC(C)=O)C(C(NC(Cc1cc(F)cc(c1)F)C(C1CC(OCc2ccc(cc2)F)C[NH2+]1)O)=O)CCc1ccccc1,CCC(C)C1(NC(C)=O)CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(OCc3ccc(F)cc3)C[NH2+]2)C1=O,1,8.0
383,C1(=NC(c2cn(nc2)CC)(C(=O)N1C)c1cc(ccc1)-c1cccnc1F)N,CCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,1,8.0
384,Fc1c(cccn1)-c1cc(C2(C(=O)N(C)C(N)=N2)c2cn(nc2)CCCC)ccc1,CCCCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,1,8.0
385,N1(C(C(c2cc(ccc2)-c2c(F)nccc2)(c2csc(c2)C(=O)CC)N=C1N)=O)C,CCC(=O)c1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cs1,1,8.0
386,c1cc2c(cc1-c1cncc(C#CC)c1)C1(CC(C)(O2)C)N=C(N(C1=O)C)N,CC#Cc1cncc(-c2ccc3c(c2)C2(CC(C)(C)O3)N=C(N)N(C)C2=O)c1,1,8.0
387,Fc1c(c(OC(C(F)(F)F)COC)cc(CC2CS(=O)CC([NH2+]C(C)c3cccc(c3)C(C)(C)C)C2O)c1)N,COCC(Oc1cc(CC2CS(=O)CC([NH2+]C(C)c3cccc(C(C)(C)C)c3)C2O)cc(F)c1N)C(F)(F)F,1,8.0
388,C(C)(C)(c1cc(c(cc1)F)C[NH2+]C1CS(=O)CC(C1O)Cc1cc(c(N)c(OC(C(F)(F)F)COC)c1)F)C,COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cc(C(C)(C)C)ccc3F)C2O)cc(F)c1N)C(F)(F)F,1,8.0
389,c1nc2OC3(CCC3)CC(c2cc1CC(C)(C)C)[NH2+]CC(O)C(Cc1ccc(F)c(C(F)(F)F)c1)NC(=O)C,CC(=O)NC(Cc1ccc(F)c(C(F)(F)F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,7.9586072
390,c1(cc(F)cc(F)c1)C[C@H](NC(=O)c1cccc(c1)N(S(C)(=O)=O)c1ccccc1)[C@H](C[NH2+]Cc1cccc(c1)OC)O,COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cccc(N(c3ccccc3)S(C)(=O)=O)c2)c1,1,7.9586072
391,c1ccc(cc1C[NH2+]CC(C(NC(c1cc(S(c2ccccc2)(=O)=O)cc(c1)C(N(CCC)CCC)=O)=O)Cc1cc(cc(F)c1)F)O)OC,CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)cc(S(=O)(=O)c2ccccc2)c1,1,7.9586072
392,O=S1(=O)CCc2cn(CC)c3c2c(N1C)cc(C(NC([C@H](O)C[NH2+]CC#C)Cc1ccccc1)=O)c3,C#CC[NH2+]C[C@@H](O)C(Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,1,7.9586072
393,C1C(NC(=O)C(C)[NH2+]CC(O)C(NC(c2cccc(N(c3ccc(cc3)OC)S(=O)(C)=O)c2)=O)Cc2ccccc2)CCCC1,COc1ccc(N(c2cccc(C(=O)NC(Cc3ccccc3)C(O)C[NH2+]C(C)C(=O)NC3CCCCC3)c2)S(C)(=O)=O)cc1,1,7.9586072
394,O=S(N(c1cc(Cl)cc(c1)Cl)c1cc(C(=O)NC(Cc2ccccc2)C(C[NH2+]C(C(=O)NC2CCCCC2)C)O)ccc1)(=O)C,CC([NH2+]CC(O)C(Cc1ccccc1)NC(=O)c1cccc(N(c2cc(Cl)cc(Cl)c2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,1,7.9586072
395,CC(C)(CCNC(=O)C(Cc1c(nc2ccc(cc2c1)-c1c(Cl)cccn1)N)C)C,CC(Cc1cc2cc(-c3ncccc3Cl)ccc2nc1N)C(=O)NCCC(C)(C)C,1,7.9586072
396,N1(C(=O)C(CC1)(NC(=O)C)CC1CC1)C(C(NC(C(O)C[NH2+]Cc1cccc(OC)c1)Cc1ccccc1)=O)CCc1ccccc1,COc1cccc(C[NH2+]CC(O)C(Cc2ccccc2)NC(=O)C(CCc2ccccc2)N2CCC(CC3CC3)(NC(C)=O)C2=O)c1,1,7.9586072
397,O(C1CCC1)c1c(N)c(F)cc(CC2CS(=O)(CC(C2O)[NH2+]Cc2cc(ccc2)C(C)(C)C)=O)c1,CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3cc(F)c(N)c(OC4CCC4)c3)C2O)c1,1,7.9586072
398,c12cc(CC(C)(C)C)cnc2OC2(CCC2)CC1[NH2+]CC(O)C(NC(=O)COC)Cc1c(F)c(ccc1)C#C,C#Cc1cccc(CC(NC(=O)COC)C(O)C[NH2+]C2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1F,1,7.9586072
399,c1ccc(CC(NC(=O)CC)C(C[NH2+]C2c3cc(cnc3OC3(CCC3)C2)CC(C)(C)C)O)cc1-c1nccs1,CCC(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,7.9586072
400,c1(F)cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)/C(=N\OCc1ccccc1)C)N(c1ccccc1)S(=O)(C)=O)[C@H](C[NH2+]Cc1cccc(c1)OC)O,COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\OCc3ccccc3)cc(N(c3ccccc3)S(C)(=O)=O)c2)c1,1,7.9208188
401,[NH2+](Cc1cccc(c1)OC)CC(O)C(Cc1cc(F)cc(c1)F)NC(=O)c1cc(cc(C(N(CCC)CCC)=O)c1)S(=O)(c1ccc(OC)cc1)=O,CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)cc(S(=O)(=O)c2ccc(OC)cc2)c1,1,7.9208188
402,c1c(c(C#CCOC)cc(c1)[C@]1(N=C(N(C1=O)C)N)c1ccc(OC(F)F)cc1)F,COCC#Cc1cc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)ccc1F,1,7.9208188
403,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cccc(OC)c1)c1cn(C(N2[C@H](CCC2)COCC)=O)c2ncccc12,CCOC[C@H]1CCCN1C(=O)n1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c2cccnc21,1,7.9208188
404,O=C(Nc1cc(c(cc1)F)C1(CCN(C)C(N)=N1)C)c1ccc(cn1)Cl,CN1CCC(C)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C1N,1,7.9208188
405,COCC(Oc1c(N)c(cc(c1)CC1C(C([NH2+]Cc2cc(ccc2)C(C)(CO)C)CS(=O)C1)O)F)C(F)(F)F,COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cccc(C(C)(C)CO)c3)C2O)cc(F)c1N)C(F)(F)F,1,7.9208188
406,n1(cc(C2(c3cccc(c3)-c3cc(cnc3)F)N=C(N)c3c2cccc3F)cc(C)c1=O)CC,CCn1cc(C2(c3cccc(-c4cncc(F)c4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,1,7.8894105
407,N(CCC)(C(c1cc(Sc2ccccc2)cc(c1)C(=O)NC(C(O)C[NH2+]Cc1cc(OC)ccc1)Cc1cc(F)cc(F)c1)=O)CCC,CCCN(CCC)C(=O)c1cc(Sc2ccccc2)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,1,7.8860564
408,n1(CC)cc2c3c1cc(cc3N(C)S(CC2)(=O)=O)C(=O)NC(C(C[NH2+]C1CCOCC1)=O)Cc1ccccc1,CCn1cc2c3c(cc(C(=O)NC(Cc4ccccc4)C(=O)C[NH2+]C4CCOCC4)cc31)N(C)S(=O)(=O)CC2,1,7.8860564
409,C(C(C(O)C[NH2+]Cc1cccc(C(F)(F)F)c1)NC(=O)c1cc(-c2ccccc2)cc(c1)N(c1ccccc1)S(C)(=O)=O)c1ccccc1,CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc(-c2ccccc2)c1,1,7.8860564
410,O(CC#Cc1cc(ccc1F)[C@@]1(C(N(C)C(=N1)N)=O)c1ccc(c(c1)C)OC(F)F)C,COCC#Cc1cc([C@@]2(c3ccc(OC(F)F)c(C)c3)N=C(N)N(C)C2=O)ccc1F,1,7.8860564
411,C(c1c2c(ccc(F)c2)n(c1)C(N(C)CCCC)=O)(=O)NC(C(C[NH2+]Cc1cccc(OC)c1)O)Cc1cc(F)cc(c1)F,CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2cc(F)ccc21,1,7.8860564
412,C1C(F)(F)C(C)(N=C(O1)N)c1cc(NC(=O)c2ncc(nc2)OCC#C)ccc1F,C#CCOc1cnc(C(=O)Nc2ccc(F)c(C3(C)N=C(N)OCC3(F)F)c2)cn1,1,7.8860564
413,CC(C)(O)c1cc(ccc1)C[NH2+]C1CS(=O)CC(Cc2cc(F)c(c(OC(COC)C(F)(F)F)c2)N)C1O,COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cccc(C(C)(C)O)c3)C2O)cc(F)c1N)C(F)(F)F,1,7.8860564
414,c1c(C2(c3ccc(cc3)OC(F)F)C3=NCC(CN3C(N)=N2)(F)F)cc(cc1)-c1cc(OC)cnc1,COc1cncc(-c2cccc(C3(c4ccc(OC(F)F)cc4)N=C(N)N4CC(F)(F)CN=C43)c2)c1,1,7.8600001
415,C(c1cc2C([NH2+]CC(C(Cc3ccc(OC(F)(F)F)cc3)NC(C)=O)O)CC3(Oc2nc1)CCC3)C(C)(C)C,CC(=O)NC(Cc1ccc(OC(F)(F)F)cc1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,7.8538718
416,c1ccc(CC([C@@H](C[NH2+]Cc2cccc(OC)c2)O)NC(c2cc3NS(=O)(=O)CCn4c3c(c2)c(c4)CC)=O)cc1,CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(OC)c4)cc13)NS(=O)(=O)CC2,1,7.8538718
417,c1(N)nc2CCC(c3cc(ccc3)C(C)(C)C)([NH2+]CC(O)C(Cc3cc(F)cc(c3)F)NC(=O)C)Cc2cn1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCc2nc(N)ncc2C1,1,7.8538718
418,C(C(NC(=O)c1cc(cc(c1)S(=O)(=O)CC)N(c1ccccc1)S(=O)(=O)C)C(O)C[NH2+]Cc1cccc(C(F)(F)F)c1)c1ccccc1,CCS(=O)(=O)c1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,1,7.8538718
419,c1ccc(C[NH2+]CC(C2COC/C=C/CCNC(=O)c3cc(N(S(=O)(C)=O)C)cc(c3)C(N2)=O)O)cc1C(C)C,CC(C)c1cccc(C[NH2+]CC(O)C2COC/C=C/CCNC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,1,7.8538718
420,O=C(Nc1ccc(c(C2(CCCOC(=N2)N)C)c1)F)c1ccc(cn1)Cl,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCCOC(N)=N1,1,7.8538718
421,C1OCCC([NH2+]CC(O)C(NC(=O)c2cc3c4c(N(C)S(CCn4cc3CC)(=O)=O)c2)Cc2ccccc2)C1,CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)C[NH2+]C4CCOCC4)cc13)N(C)S(=O)(=O)CC2,1,7.8239088
422,C(C[NH2+]C)(C(NC(c1cc2c3c(c(cn3CCS(=O)(=O)N2C)CC)c1)=O)Cc1ccccc1)O,CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)C[NH2+]C)cc13)N(C)S(=O)(=O)CC2,1,7.8239088
423,c1cccc(c1)N(S(C)(=O)=O)c1nccc(c1)C(=O)NC(C(C[NH2+]Cc1cc(C(F)(F)F)ccc1)O)Cc1ccccc1,CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(F)(F)F)c2)ccn1,1,7.8239088
424,C(C)(C(NCCC(C)(C)C)=O)Cc1cc2cc(-c3c(cccc3)C(C)=O)ccc2nc1N,CC(=O)c1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCCC(C)(C)C)cc2c1,1,7.8239088
425,C1(C(c2cc(-c3cncnc3)ccc2)(c2csc(C(=O)CC)c2)N=C(N)N1C)=O,CCC(=O)c1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cs1,1,7.8239088
426,O=C(COC)NC(Cc1cccc(C#CC)c1)C(C[NH2+]C1c2cc(cnc2OC2(CCC2)C1)CC(C)(C)C)O,CC#Cc1cccc(CC(NC(=O)COC)C(O)C[NH2+]C2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,1,7.8239088
427,c1(cc(ccc1)C[NH2+]CC(C1COC/C=C/CCNC(=O)c2cc(N(C)S(=O)(C)=O)cc(c2)C(N1)=O)O)C(C)(C)C,CN(c1cc2cc(c1)C(=O)NC(C(O)C[NH2+]Cc1cccc(C(C)(C)C)c1)COC/C=C/CCNC2=O)S(C)(=O)=O,1,7.8239088
428,c1nc(C(Nc2cc(C3(C)CC(=O)N(C(=N3)N)C)ccc2)=O)ccc1Cl,CN1C(=O)CC(C)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)N=C1N,1,7.8239088
429,c1(C2(c3cc(C)c(n(c3)CC)=O)N=C(N)c3c2cccc3F)cccc(-c2cncnc2)c1,CCn1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,1,7.8096681
430,OC(Cc1cc(C(=O)NC(C(O)C[NH2+]Cc2cc(ccc2)OC)Cc2cc(cc(F)c2)F)cc(C(N(CCC)CCC)=O)c1)C,CCCN(CCC)C(=O)c1cc(CC(C)O)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,1,7.7958798
431,c1(c(cccc1)-c1ccc2nc(c(cc2c1)CC(C(=O)NCC1CCCCC1)CC)N)C,CCC(Cc1cc2cc(-c3ccccc3C)ccc2nc1N)C(=O)NCC1CCCCC1,1,7.7958798
432,c1(-c2ccc3nc(N)c(CC(C(NCCC(C)(C)C)=O)C)cc3c2)ncccc1C,Cc1cccnc1-c1ccc2nc(N)c(CC(C)C(=O)NCCC(C)(C)C)cc2c1,1,7.7958798
433,N(C(C(O)C1CC(C[NH2+]1)O)Cc1cc(F)cc(c1)F)C(C(N1CCC(C(O)CCC)C1=O)CCc1ccccc1)=O,CCCC(O)C1CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(O)C[NH2+]2)C1=O,1,7.7958798
434,c1n(ncc1C1(c2cc(-c3c(F)nccc3)ccc2)C(N(C)C(N)=N1)=O)CCC(C)C,CC(C)CCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,1,7.7958798
435,CC(C)(Cc1cnc2c(C([NH2+]CC(O)C(Cc3cc(-c4nccs4)ccc3)NC(=O)C(C)OCC)CC3(O2)CCC3)c1)C,CCOC(C)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,7.7958798
436,c1c2C(=O)NCCCCCOCC(NC(=O)c(c2)cc1N(S(C)(=O)=O)C)C(C[NH2+]Cc1cc(ccc1)C(C)C)O,CC(C)c1cccc(C[NH2+]CC(O)C2COCCCCCNC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,1,7.7958798
437,n1cncc(-c2ccc3Oc4ccc(cc4C4(c3c2)COC(N)=N4)CCC)c1,CCCc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,1,7.7958798
