,rand_smi,cano_smi,CT_TOX
428,CC([C@@H]1CC[C@@H](C)C[C@H]1O)C,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0
429,[C@@H]12[C@@]34[C@H](O[C@@H]([C@@H]1C)OC)O[C@@](OO4)(C)CC[C@H]3[C@@H](CC2)C,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,0
430,[C@@H]1(C[C@@H](OC)[C@H](O)CC1)C[C@@H](C)[C@@H]1CC([C@@H](/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(\C)[C@H](C[C@H]2O[C@](O)([C@H](C)CC2)C(C(=O)N2CCCC[C@H]2C(O1)=O)=O)OC)C)C)C)=O,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,0
431,[C@H]12C(O[C@H]([C@@H](C[C@@H]3CC[C@@H](OCCO)[C@H](OC)C3)C)CC([C@H](C)/C=C(/[C@@H](O)[C@@H](OC)C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@@H]3CC[C@@H](C)[C@](O3)(O)C(C(N1CCCC2)=O)=O)OC)C)C)C)C)=O)=O,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,1
432,C1[C@H](OC)/C(=C/C=C/C=C\[C@@H](C)C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@@H](C)C(=O)C[C@H](OC(=O)[C@H]2N(C(C(=O)[C@]3(O)O[C@H]1CC[C@H]3C)=O)CCCC2)[C@@H](C[C@H]1C[C@H]([C@@H](CC1)OCCO)OC)C)C)O)OC)C)C,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C,0
433,C1[C@H]([C@@H](C[C@@H](C1)C[C@H]([C@@H]1CC(=O)[C@H](C)/C=C(/[C@@H](O)[C@H](C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(\C)[C@@H](OC)CC2CC[C@@H](C)[C@@](C(C(N3CCCC[C@H]3C(O1)=O)=O)=O)(O)O2)C)C)OC)C)C)OC)OC(=O)C(CO)(C)CO,CO[C@H]1CC2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,0
434,C[C@@H]1CCN(C(=O)[C@@H](NS(c2c3c(ccc2)C[C@@H](C)CN3)(=O)=O)CCC[NH+]=C(N)N)[C@H](C1)C(=O)[O-],C[C@@H]1CCN(C(=O)[C@H](CCC[NH+]=C(N)N)NS(=O)(=O)c2cccc3c2NC[C@H](C)C3)[C@@H](C(=O)[O-])C1,0
435,C(=O)([O-])c1c(=O)c2c(c(F)c(c(c2n(c1)C1CC1)F)N1C[C@H](C)[NH2+][C@@H](C1)C)N,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2F)C[C@H](C)[NH2+]1,0
436,C1[NH+]2C[C@]3(O[C@H](SC3)C)C(C1)CC2,C[C@@H]1O[C@@]2(CS1)C[NH+]1CCC2CC1,0
437,[C@@H]12O[C@H]([C@H](O)[C@@H](O)[C@@H]2O[C@H](C)OC1)O[C@@H]1c2c([C@@H](c3cc(c(O)c(OC)c3)OC)[C@@H]3[C@@H]1COC3=O)cc1OCOc1c2,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,0
438,C1OC([C@@H]2[C@H](c3cc(c(c(c3)OC)O)OC)c3c([C@H]([C@H]21)O[C@@H]1O[C@H]2[C@H]([C@H](O)[C@H]1O)O[C@@H](OC2)C)cc1c(OCO1)c3)=O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,1
439,c1c(O)c2O[C@@H]3[C@]45c2c(c1)C[C@@H]([NH+](CC5)CC1CC1)[C@]14C[C@H]([C@](C(C)(C)C)(C)O)[C@]3(OC)CC1,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CC[NH+]1CC1CC1)[C@H]2O5,0
440,c1(ccc(O)c(c1)O)C[C@]([NH3+])(C([O-])=O)C,C[C@]([NH3+])(Cc1ccc(O)c(O)c1)C(=O)[O-],0
441,O=C([C@@]([NH3+])(Cc1ccc(O)cc1)C)[O-],C[C@]([NH3+])(Cc1ccc(O)cc1)C(=O)[O-],0
442,C[NH+](C)[C@@H]1C([O-])=C(C(=O)N)C([C@]2(O)[C@H]1[C@@H](O)[C@@H]1[C@](C)(O)c3c(C(C1=C2[O-])=O)c([O-])ccc3)=O,C[NH+](C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C([O-])=C3C(=O)c4c([O-])cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0
443,c1c([O-])c2C(C3[C@@H]([C@@](c2cc1)(O)C)C[C@H]1[C@H]([NH+](C)C)C([O-])=C(C([C@]1(C=3[O-])O)=O)C(N)=O)=O,C[NH+](C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C([O-])=C3C(=O)c4c([O-])cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0
444,F[C@H]1C[C@@H]2[C@@](F)([C@@]3(C)C=CC(C=C13)=O)[C@H](C[C@@]1([C@]3(C(=O)CO)OC(C)(C)O[C@@H]3C[C@@H]21)C)O,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
445,C1=C[C@@]2(C)C(=CC1=O)CC[C@H]1[C@H]3[C@@]([C@@]4(OC(C)(C)O[C@@H]4C3)C(CO)=O)(C[C@@H]([C@@]12F)O)C,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
446,[C@@]12(C)C(CC[C@H]3[C@H]4[C@](C)(C[C@@H]([C@@]32F)O)[C@]2([C@@H](C4)OC(O2)(C)C)C(COC(=O)CC(C)(C)C)=O)=CC(C=C1)=O,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0
447,O[C@@H]1C[C@@H]2[C@@](C[C@@H]([C@@]3([C@]4(C=CC(C=C4CC[C@H]32)=O)C)F)O)(C)[C@@]1(O)C(CO)=O,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,0
448,[C@@H]12[C@@H]([C@]3(C)C(=CC(C=C3)=O)[C@H](C2)F)[C@H](C[C@]2(C)[C@]3([C@@H](C[C@H]21)OC(C)(O3)C)C(=O)CO)O,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
449,O[C@H]1C[C@@]2([C@]3([C@@H](C[C@H]2[C@H]2[C@H]1[C@]1(C)C(=CC(C=C1)=O)CC2)OC(C)(C)O3)C(=O)CO)C,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
450,C1[C@@H](C2=CC(=O)C=C[C@@]2([C@@H]2[C@@H]1[C@H]1[C@@]([C@@](C(=O)CO)(CC1)O)(C[C@@H]2O)C)C)F,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0
451,C1C[C@](O)(C(CO)=O)[C@]2(C)[C@@H]1[C@H]1[C@H]([C@@H](O)C2)[C@@]2(C(CC1)=CC(C=C2)=O)C,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1
452,C1[C@@H]2[C@H]([C@H](C[C@@]3(C)[C@H]2CC[C@@]3(C(=O)COC(CC(C)(C)C)=O)O)O)[C@]2(C=CC(=O)C=C2C1)C,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0
453,C1C(C=C[C@@]2(C)C=1CC[C@H]1[C@@H]3CC[C@@]([C@]3(CC([C@H]21)=O)C)(C(=O)CO)O)=O,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1
454,FC(C(CCCS(=O)CCCCCCCCC[C@@H]1Cc2cc(O)ccc2[C@@H]2[C@@H]1[C@H]1[C@@](C)([C@@H](O)CC1)CC2)(F)F)(F)F,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,0
455,C1[C@@]2([C@H](CC[C@H]2[C@H]2[C@@H](c3ccc(O)cc3CC2)C1)O)C,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0
456,O=P([O-])([O-])O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCc2cc(OC(=O)N(CCCl)CCCl)ccc21,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)([O-])[O-],0
457,C1C[C@H]2[C@@H](CCc3c2ccc(O)c3)[C@H]2[C@]1([C@@](C#C)(O)CC2)C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0
458,C#C[C@@]1(O)[C@]2(C)[C@H]([C@H]3[C@@H](c4c(cc(cc4)OC)CC3)CC2)CC1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0
459,c1cc(cc2CC[C@@H]3[C@H](CC[C@@]4([C@](O)(C#C)CC[C@H]43)C)c12)OC1CCCC1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,0
460,Oc1ccc2c(CC[C@H]3[C@H]4[C@@](C)(C(CC4)=O)CC[C@H]23)c1,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,0
461,[C@@H]12[C@](CC[C@H]3[C@H]1CCc1cc(ccc13)OS(=O)([O-])=O)(C(CC2)=O)C,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)[O-])cc4CC[C@H]3[C@@H]1CCC2=O,0
462,C1(=O)C=C[C@@]2([C@H]3CC[C@]4(C)[C@@H](C(=O)NC(C)(C)C)CC[C@H]4[C@@H]3CC[C@H]2N1)C,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,0
463,C1C[C@H]2NC(C=C[C@]2(C)[C@H]2CC[C@]3([C@@H](CC[C@@H]3C(=O)Nc3c(ccc(c3)C(F)(F)F)C(F)(F)F)[C@@H]21)C)=O,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,1
464,C(F)(c1ccc(c(NC([C@H]2CC[C@H]3[C@H]4[C@@H]([C@@]5(C)C=CC(N[C@@H]5CC4)=O)CC[C@@]32C)=O)c1)C(F)(F)F)(F)F,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,0
465,C1(=C(C[C@]2([C@]3(CC[C@H]4[C@@H]5CC[C@H](O)[C@]5(CC[C@H]24)C)O[C@@H]31)C)C#N)O,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,0
466,C1C2=CC(=O)CC[C@@]2([C@H]2CC[C@@]3([C@@H](O)CC[C@H]3[C@@H]2C1)C)C,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0
467,C1C(=O)C=C2CC[C@@H]3[C@@H]([C@H]2C1)CC[C@]1(C)[C@H](CC[C@H]13)OC(CCc1ccccc1)=O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1,0
468,C12CC[C@H]3[C@@H]4CC[C@]([C@@]4(C)CC[C@@H]3C=1CCC(C2)=O)(C#C)O,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0
469,C1C[C@@H]2[C@](C)(CC[C@H]3[C@H]2CCC2[C@@H]3CCC(C=2)=O)[C@@]1(C#C)O,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0
470,C1CC2=Cc3oncc3C[C@]2(C)[C@@H]2[C@@H]1[C@H]1[C@@](CC2)(C)[C@](O)(C#C)CC1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0
471,[C@H]12[C@H]([C@H]3[C@](CC2)([C@](CC3)(O)C)C)CC[C@H]2CC(=O)/C(=C\[O-])C[C@@]21C,C[C@]12C/C(=C/[O-])C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
472,C1c2[nH]ncc2C[C@@]2(C)[C@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@]2(C)O)C,C[C@]12Cc3cn[nH]c3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
473,C[C@]1([C@@]2(C)CC[C@@H]3[C@]4(C)[C@H](CC(=O)OC4)CC[C@H]3[C@@H]2CC1)O,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
474,O=C1O[C@]2(C)[C@H]([C@H]3[C@@H]([C@@]4(C)C=CC(=O)C=C4CC3)CC2)CC1,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12,0
475,C[C@]12CC[C@@H]3[C@]4(C)C(C(=C)C[C@H]3[C@@H]1CCC2=O)=CC(=O)C=C4,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,0
476,C1[C@]2(C)[C@]3(CCC(O3)=O)[C@H]3C[C@H]3[C@H]2[C@@H]2[C@@H]3[C@H](C4=CC(=O)CC[C@@]4([C@H]2C1)C)C3,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,0
477,[C@@H]12[C@H]([C@@H](O)C[C@@]3([C@@]4(C(CO)=O)[C@H](OC(C)(O4)C)C[C@@H]13)C)[C@]1(C)C([C@@H](F)C2)=CC(=O)CC1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
478,C1[C@@]2(CC[C@@H]3[C@@]2(C[C@H]2O[C@]24[C@@]2(C(C[C@@H](C(=O)OC)[C@H]43)=CC(CC2)=O)C)C)OC(=O)C1,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,0
479,O=C(CCl)[C@@]12OC(O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(CC[C@]4(C)[C@]3([C@@H](O)C[C@@]12C)F)=O)(C)C,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,0
480,O=C1C=C2[C@@](C)([C@@]3(F)[C@H](C[C@@]4([C@](CC[C@H]4[C@@H]3CC2)(O)C)C)O)CC1,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
481,[C@@H]12CCC3[C@](C)(CCC(C=3)=O)[C@H]1[C@H](C[C@]1(C)[C@@](C(CO)=O)(CC[C@H]12)O)O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1
482,C1(C=C2[C@@](C)([C@H]3[C@@H](O)C[C@]4(C)[C@@](CC[C@H]4[C@@H]3CC2)(O)C(=O)COC(CCC([O-])=O)=O)CC1)=O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-],0
483,C(OC(CCC1CCCC1)=O)C(=O)[C@@]1([C@]2(C[C@@H]([C@H]3[C@@H](CCC4[C@@]3(CCC(=O)C=4)C)[C@@H]2CC1)O)C)O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC1CCCC1,0
484,C(C([C@]1(O)[C@@]2([C@@H](CC1)[C@H]1[C@H]([C@H](C2)O)[C@@]2(C)CCC(C=C2CC1)=O)C)=O)OP([O-])([O-])=O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],0
485,[C@@]1(C)([C@@]2(C)CC[C@@H]3[C@]4(C)C(=CC(=O)CC4)CC[C@H]3[C@@H]2CC1)O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
486,C1(=O)CCC2C(CC[C@@H]3C=2CC[C@]2([C@H]3CC[C@]2(CC#N)O)C)=C1,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,0
487,C1CC[C@@H]2[C@H]([NH3+])[C@@](c3c(C2)ccc(c3)O)(CC1)C,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2[NH3+],0
488,CC(C)([C@@H](C)/C=C/[C@@H](C)[C@@H]1[C@@]2(C)CCC/C([C@@H]2CC1)=C\C=C1C[C@H](C[C@H](O)C1)O)O,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,0
489,C(=C1/[C@@H]2CC[C@@H]([C@@]2(C)CCC1)[C@H](C)/C=C/[C@H](C)C(C)C)\C=C1/C(=C)[C@H](C[C@@H](C1)O)O,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0
490,C1[C@@]2(C)[C@@H](CC[C@@H]2[C@H](C)/C=C/[C@@H](C(C)C)C)/C(=C/C=C2\C(CC[C@@H](C2)O)=C)CC1,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,0
491,C(/C=C1\CCC[C@]2([C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](O)C1CC1)C)C)=C1/C(=C)[C@H](C[C@H](O)C1)O,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0
492,[C@H]([C@@H](C)O)(C(=O)N)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](Cc2ccc3c(c2)cccc3)[NH3+])C(N[C@H](C(N[C@H](Cc2c[nH]c3ccccc32)C(=O)N[C@H](C(N[C@@H](C(C)C)C(=O)N1)=O)CCCC[NH3+])=O)Cc1ccc(cc1)O)=O,CC(C)[C@@H]1NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H]([NH3+])Cc2ccc3ccccc3c2)CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC1=O,0
493,[C@@H](NC([C@H](Cc1c2c([nH]c1)cccc2)NC(CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc1ccc(cc1)OS(=O)(=O)[O-])NC([C@@H](NC([C@H](CCC(N)=O)NC([C@H]1NC(CC1)=O)=O)=O)CC([O-])=O)=O)=O)=O)(C(N[C@@H](CC(=O)[O-])C(N[C@H](C(N)=O)Cc1ccccc1)=O)=O)CCSC,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)[O-])cc1)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)[C@@H](C)O)C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccccc1)C(N)=O,0
494,O=C([O-])C1=C(SCC/[NH+]=C/N)C[C@H]2N1C([C@@H]2[C@H](O)C)=O,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SCC/[NH+]=C/N)C[C@H]12,0
495,c1c([C@H](O)[C@H]([NH3+])C)cccc1,C[C@@H]([NH3+])[C@@H](O)c1ccccc1,0
496,C(CCCCOC(/C=C(\C)C[C@H]1[C@@H]([C@@H]([C@H](CO1)C[C@H]1[C@@H](O1)[C@@H](C)[C@H](C)O)O)O)=O)CCCC([O-])=O,C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,0
497,O=C([C@H]1N(CCC1)C([C@H](CCCC[NH2+]C(C)C)NC(=O)[C@@H](NC([C@H](NC(=O)[C@@H](N(C(=O)[C@H](CO)NC([C@@H](Cc1cccnc1)NC(=O)[C@H](NC(=O)[C@@H](Cc1ccc2c(c1)cccc2)NC(C)=O)Cc1ccc(Cl)cc1)=O)C)Cc1ccc(cc1)O)CC(N)=O)=O)CC(C)C)=O)N[C@H](C)C(N)=O,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCC[NH2+]C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0
498,c1(ccc(C[C@H](C(N[C@H](C(N[C@@H](CCCC[NH2+]C(C)C)C(N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N)=O)=O)CC(C)C)=O)NC(=O)[C@@H](NC([C@H](CO)NC([C@H](NC([C@@H](Cc2ccc(Cl)cc2)NC(=O)[C@@H](Cc2ccc3c(cccc3)c2)NC(C)=O)=O)Cc2cccnc2)=O)=O)Cc2ccc(cc2)NC([C@H]2NC(=O)NC(C2)=O)=O)cc1)NC(N)=O,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(N)=O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCC[NH2+]C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0
499,C(N[C@@H](C(N[C@@H](C(=O)N[C@@H](C(N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(=O)N)C(N[C@H](C(N[C@@H](CCCNC(=[NH2+])N)C(=O)N1[C@@H](CCC1)C(N[C@H](C)C(=O)N)=O)=O)CC(C)C)=O)=O)Cc1cnccc1)Cc1ccc(cc1)Cl)=O)Cc1cc2c(cc1)cccc2)(C)=O,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0
500,C1C[NH2+]CCC1n1cc(cn1)-c1cnc(c(O[C@H](C)c2c(Cl)c(ccc2Cl)F)c1)N,C[C@@H](Oc1cc(-c2cnn(C3CC[NH2+]CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,0
501,c1(cc(cc(c1)C(F)(F)F)C(F)(F)F)[C@@H](C)O[C@@H]1[C@H](c2ccc(F)cc2)[NH+](Cc2[nH]c(=O)[nH]n2)CCO1,C[C@@H](O[C@H]1OCC[NH+](Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0
502,C(F)(c1cccc(c1)CCC[NH2+][C@@H](c1cccc2ccccc12)C)(F)F,C[C@@H]([NH2+]CCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,0
