,rand_smi,cano_smi,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
1484,C(C)CCCCC1OC(CCC1)=O,CCCCCCC1CCCC(=O)O1,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
1485,C(c1ccccc1)(CC=O)C,CC(CC=O)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1486,C1NCCNC1,C1CNCCN1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1487,C(CC(=O)OCC)c1ccccc1,CCOC(=O)CCc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1488,O=C(CC(=O)OCC)c1ccccc1,CCOC(=O)CC(=O)c1ccccc1,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1489,C(CC)CCC#CC(OC)=O,CCCCCC#CC(=O)OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490,C1C(=C(C/C=C\CC)C(C1)=O)C,CC/C=C\CC1=C(C)CCC1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
1491,c1ccccc1C(OC(CC)=O)C,CCC(=O)OC(C)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492,c12c(C)cccc1nccn2,Cc1cccc2nccnc12,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1493,C1(C)OC(OC2c3c(c4c(c(c3C[C@@](C(=O)CO)(C2)O)O)C(c2c(C4=O)c(ccc2)OC)=O)O)CC(N2CCOC(C2)OC)C1O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)CC3OC1CC(N2CCOC(OC)C2)C(O)C(C)O1,,,,,,,,,,0.0,,
1494,C(O)(/C=C/C=C/C)=O,C/C=C/C=C/C(=O)O,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495,CCN(C([S-])=S)CC,CCN(CC)C(=S)[S-],0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1496,c1(Cl)cc(cc(c1[O-])Sc1c(c(Cl)cc(Cl)c1)[O-])Cl,[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-],0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0
1497,c1(Br)cc(Br)c(cc1Oc1c(cc(c(c1)Br)Br)Br)Br,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1498,O=S(Nc1ccc(cc1)C(CNC(C)C)O)(=O)C,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1499,CCC(OC(C)=O)OCCCOC,CCC(OCCCOC)OC(C)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,Cc1ncsc1,Cc1cscn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1501,C1CCC(N)C(N)C1,NC1CCCCC1N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1502,c1(C(=O)Cl)c(c(c(C(Cl)=O)c(Cl)c1Cl)Cl)Cl,O=C(Cl)c1c(Cl)c(Cl)c(C(=O)Cl)c(Cl)c1Cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1503,C[Sn](C)(Cl)Cl,C[Sn](C)(Cl)Cl,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1504,O=C(Cl)C(CC)CCCC,CCCCC(CC)C(=O)Cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1505,C(OCCC(=O)OCC)C,CCOCCC(=O)OCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1506,N1(c2cc(ccc2Sc2ccccc12)C#N)CCCN1CCC(O)CC1,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0
1507,c1c(N(N=O)C)cccc1,CN(N=O)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1508,C1CN(N=O)CCO1,O=NN1CCOCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509,c1cc2c(nc([nH]2)NC(=O)N)cc1,NC(=O)Nc1nc2ccccc2[nH]1,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
1510,N1CCN(CC1)N=O,O=NN1CCNCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1511,C1C(C(CCN2CCCCC2)(c2ccccc2)O)CCCC1,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1512,O(c1c(cc2c(CCN(C)C[C@@H]2c2ccccc2)c1)OC)C,COc1cc2c(cc1OC)[C@@H](c1ccccc1)CN(C)CC2,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0
1513,c1([C@@H](O)CNCCc2ccc(c(c2)OC)OC)ccc(O)cc1,COc1ccc(CCNC[C@H](O)c2ccc(O)cc2)cc1OC,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
1514,c12n(CCc3cc(c(OC)cc3-1)OC)c(n(/c(c2)=N/c1c(cc(cc1C)C)C)C)=O,COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2,0.0,,,,,0.0,,,,,,
1515,C(C[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)CCl)CCN,Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1,0.0,1.0,0.0,0.0,,,,0.0,1.0,0.0,,
1516,C(CCN1c2c(Sc3ccc(C(F)(F)F)cc31)cccc2)N(C)C,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,1.0
1517,c1cc(Cl)c(C(O)CNC(C)(C)C)cc1,CC(C)(C)NCC(O)c1ccccc1Cl,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1518,c12cccc3[nH]cc(c32)C[C@@H]2[C@@H]1C[C@H](NC(=O)N(CC)CC)CN2C,CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0.0,,1.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
1519,C(C)(C)=CCCC(CC(OC)=O)C,COC(=O)CC(C)CCC=C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
1520,C1(C)([C@H](CC[C@]2(C)[C@H]3C(C=C4[C@@](C)(CC[C@@]5([C@H]4C[C@](CC5)(C(=O)O)C)C)[C@@]3(CC[C@@H]12)C)=O)O)C,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0
1521,O1CCOS1=O,O=S1OCCO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1522,OCC(CCl)O,OCC(O)CCl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1523,C(C)(CCO)(C)OC,COC(C)(C)CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1524,C1C[C@@H]2[C@H](CC[C@@]3([C@@](CC[C@@H]23)(C)O)C)[C@]2(C)C1=CC(=O)CC2,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0
1525,OCC(O)CO,OCC(O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526,c1(S(=O)(=O)O)ccc(O)c2c1cccn2,O=S(=O)(O)c1ccc(O)c2ncccc12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1527,O.c1(S(O)(=O)=O)ccc(C)cc1,Cc1ccc(S(=O)(=O)O)cc1.O,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1528,c1cc(ccc1C(C(F)(F)F)(C(F)(F)F)c1ccc(O)cc1)O,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.0,0.0,1.0,,1.0,1.0,0.0,,0.0,0.0,1.0,1.0
1529,c1cccc(C(OC)(C(=O)c2ccccc2)OC)c1,COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1530,C1[C@H]([C@@]23CC[C@](O)(C)[C@@H](C([C@@H]2C1)(C)C)C3)C,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0
1531,c1(ccc(cc1)O)C(c1ccc(cc1)O)(C)c1ccc(cc1)O,CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1,0.0,0.0,0.0,,1.0,,0.0,1.0,0.0,,1.0,1.0
1532,OS(=O)(=O)O,O=S(=O)(O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
1533,Oc1cc(ccc1C(=O)c1ccc(c(c1)O)O)O,O=C(c1ccc(O)c(O)c1)c1ccc(O)cc1O,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,
1534,[Fe+2],[Fe+2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1535,c12cc3c(cc2ccc2ccccc12)c1c(cccc1)cc3,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,1.0
1536,c1c(N)ccc(O)c1N,Nc1ccc(O)c(N)c1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1537,Nc1ccc(cc1)NC(c1ccc(cc1)N)=O,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1538,c1cc(cc(c1C)N)N,Cc1ccc(N)cc1N,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0
1539,n1c(OP(=S)(OCC)OCC)cc(C)nc1C(C)C,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1540,c12c(C(c3ccccc3)=NCC(=O)N2C)cc(cc1)Cl,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1541,CC(C)(C(=O)O)C,CC(C)(C)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1542,[O-][N+](=O)C(C)(CO)C,CC(C)(CO)[N+](=O)[O-],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1543,C([C@@H](C)Oc1ccc(Oc2oc3cc(ccc3n2)Cl)cc1)(=O)OCC,CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1544,C(CCCCCCCCCCC)S,CCCCCCCCCCCCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1545,Clc1ccc(cc1)COC(Cn1cncc1)c1ccc(cc1Cl)Cl,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,,
1546,O=C1N(C(SC)=N[C@]1(c1ccccc1)C)Nc1ccccc1,CSC1=N[C@@](C)(c2ccccc2)C(=O)N1Nc1ccccc1,0.0,,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0
1547,Oc1ccc(CCCCCCCCCCCC)cc1,CCCCCCCCCCCCc1ccc(O)cc1,0.0,,0.0,,1.0,1.0,,,0.0,,1.0,
1548,c1ccccc1C(C(=O)OC1C[N+](C)(CC1)C)(C1CCCC1)O,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1549,c1ccc(C2(C(NC(=O)CC2)=O)CC)cc1,CCC1(c2ccccc2)CCC(=O)NC1=O,,,,,,,,0.0,,0.0,,
1550,c1cccc(C[C@@H]([C@@H](CN(S(c2ccc(cc2)N)(=O)=O)CC(C)C)OP(=O)([O-])[O-])NC(O[C@@H]2COCC2)=O)c1,CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
1551,OC(CNC([C@H](CS)NC(=O)CC[C@H](N)C(O)=O)=O)=O,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552,C(N(CCO)c1cccc(c1)Cl)CO,OCCN(CCO)c1cccc(Cl)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1553,CCOC(=O)C(Cl)Cc1cc(c(cc1Cl)F)-n1c(n(c(C)n1)C(F)F)=O,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0
1554,C(O)(c1cccc(c1)-c1noc(n1)-c1c(F)cccc1)=O,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,1.0,,1.0,,1.0,0.0,0.0,,1.0,0.0,0.0,0.0
1555,C1C(=O)C(=C(O)C2CC2)C(=O)CC1C(=O)OCC,CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1556,c1cc(ccc1)Oc1cc(ccc1)C(C#N)OC(C1C(C=C(C)C)C1(C)C)=O,CC(C)=CC1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1557,C(CC[N+](C)(C)CCCCCCCCCC)CCCCCCC,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,0.0,,0.0,,,0.0,,,0.0,,,
1558,COc1ccccc1NC(CC(C)=O)=O,COc1ccccc1NC(=O)CC(C)=O,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1559,n1(C)cnc2c(=O)nc(N)[nH]c21,Cn1cnc2c(=O)nc(N)[nH]c21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1560,C1C(=O)CC[C@]2(C)[C@@]3([C@H]([C@H]4[C@](C[C@@H]3O)([C@@]3(C(CCl)=O)[C@@H](C4)OC(C)(O3)C)C)CCC=12)F,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,1.0,0.0,,,0.0,,0.0,,0.0,0.0,,0.0
1561,C1N(C(NC(N)=N)=N)CCOC1,N=C(N)NC(=N)N1CCOCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1562,c1(ccc(C(CCCN2CCN(CC(Nc3c(cccc3C)C)=O)CC2)c2ccc(F)cc2)cc1)F,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0
1563,O(CC)C(=O)[C@](C)(Cc1ccc(O)c(c1)O)N,CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1564,[C@@H]12[C@@H](O)C[C@@]3([C@H](CC[C@H]3[C@@H]2C[C@H](C)C2=CC(CC[C@]12C)=O)C(=O)C)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,1.0,1.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
1565,O(c1ccc(cc1)CC(C)N(CC)CCCCOC(=O)c1ccc(OC)c(c1)OC)C,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1566,O(c1nc(CCCC)cc2ccccc21)CCN(C)C,CCCCc1cc2ccccc2c(OCCN(C)C)n1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1567,c1c(O)c2CC[C@H](N(CCC)CCc3cccs3)Cc2cc1,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1568,CC1([C@@H]2C(C)=CC(=O)[C@H]1C2)C,CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1569,C(=O)(COc1c(c(c(c(F)n1)Cl)N)Cl)O,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570,c1nc(c(F)c(n1)Oc1ccccc1/C(=N\OC)C1=NOCCO1)Oc1ccccc1Cl,CO/N=C(/C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,0.0,,0.0,,,,,1.0,0.0,0.0,1.0,
1571,Oc1ccc(cc1)C(=O)NN=Cc1oc([N+](=O)[O-])cc1,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,,,,,,,,1.0,,0.0,,
1572,c1(ccc(C(C)C)c(O)c1)C,Cc1ccc(C(C)C)c(O)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1573,c1cc([nH]c([nH]1)=S)=O,O=c1cc[nH]c(=S)[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574,c1(Sc2ccc(cc2)N)ccc(N)cc1,Nc1ccc(Sc2ccc(N)cc2)cc1,0.0,0.0,1.0,,,1.0,0.0,,0.0,0.0,0.0,0.0
1575,O(C(C)=O)CCOC(=O)C,CC(=O)OCCOC(C)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576,C(CCCCCCCCCC(=O)OCCO)CCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OCCO,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
1577,C(CC)CCCCC,CCCCCCCC,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
1578,C1(c2c(C(=N)N1)cc1c(c2)cccc1)=N,N=C1NC(=N)c2cc3ccccc3cc21,0.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0
1579,C1CC=CCCC=C1,C1=CCCC=CCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580,C(CCCCCCCC(=O)OC)CCC,CCCCCCCCCCCC(=O)OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581,c1cc(c2c(c1O)c(ccc2)O)O,Oc1ccc(O)c2c(O)cccc12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1582,C([S-])#N,N#C[S-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1583,CC(N)=S,CC(N)=S,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1584,c1c(C)c(cc(C(C)(C)C)c1O)Sc1c(C)cc(O)c(c1)C(C)(C)C,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,0.0,,,,,,,,,1.0,1.0,
1585,COc1ccccc1N1CCNCC1,COc1ccccc1N1CCNCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586,c1ccc(cc1)Nc1c(N)cccc1,Nc1ccccc1Nc1ccccc1,0.0,,1.0,,0.0,,,1.0,0.0,1.0,,0.0
1587,[N+]1(C)(CCCC1)CCC,CCC[N+]1(C)CCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1588,C(CCCCCCCCCCC)CCCCI,CCCCCCCCCCCCCCCCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1589,c12c(ccc(c1)[N+](=O)[O-])[nH]nc2,O=[N+]([O-])c1ccc2[nH]ncc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1590,C(C(CC)(C)C)C,CCC(C)(C)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1591,C1(N(CC(N=1)=O)C)NC(Nc1cc(Cl)ccc1)=O,CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1592,C1=CC(C=C2[C@@]1(C)[C@]1([C@H](C[C@@]3([C@@](CC[C@H]3[C@@H]1C[C@@H]2F)(OC(=O)CCC)C(COC(=O)C)=O)C)O)F)=O,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0,1.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
1593,C=CCCC=C,C=CCCC=C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1594,O(CCBr)c1ccccc1,BrCCOc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1595,[C@H](CN(CC(C)C)S(c1ccc(N)cc1)(=O)=O)(O)[C@@H](NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)Cc1ccccc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
1596,c1c2c(c3c4n2[C@@H]2O[C@@](n5c6ccccc6c(c6CNC(=O)c63)c45)(C)[C@](CO)(O)C2)ccc1,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,0.0,,,1.0,,,,,,,1.0,1.0
1597,[C@H]12C=C[C@H]([C@H]3[C@@]4(Cl)C(Cl)=C([C@@]([C@@H]23)(C4(Cl)Cl)Cl)Cl)C1,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,1.0,0.0
1598,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)C,CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1599,[C@@H]1(O)C[C@@H]2C([C@@]1(C)CC2)(C)C,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,c1ccc(c(C(=O)OC(C)C)c1)OP(N)(OC)=S,COP(N)(=S)Oc1ccccc1C(=O)OC(C)C,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601,O([C@H]1[C@@]2(C)C(C)([C@H](CC2)C1)C)C(=O)CC,CCC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1602,C(CCCOC(c1ccccc1C(=O)OCCCCCC(C)C)=O)CC(C)C,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1603,C(N(CCO)CCO)CO.c1c(S(=O)(O)=O)ccc(C(CCCCCCCCC)CC)c1,CCCCCCCCCC(CC)c1ccc(S(=O)(=O)O)cc1.OCCN(CCO)CCO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1604,C(C)(CC(C)C)(C)C,CC(C)CC(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605,C(N(C(=O)SCCC)CCC)CC,CCCSC(=O)N(CCC)CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606,BrC(COP(OCC(CBr)Br)(OCC(CBr)Br)=O)CBr,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,
1607,OC(c1c(Cl)ccc(Cl)c1OC)=O,COc1c(Cl)ccc(Cl)c1C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1608,c1(Br)ccc(cc1)Oc1ccc(Br)cc1,Brc1ccc(Oc2ccc(Br)cc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1609,BrC(Cl)(Cl)Br,ClC(Cl)(Br)Br,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
